cuisines,latitude,longitude,item
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,V16 Ma Po Spicy Tofu
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,V17 Braised Tofu with Brown Sauce
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,V18 Kong Pao Style Tofu
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,V19 Stir Fried Water Spinach
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,V20 Stir Fried Pea Tips
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,V21 Stir Fried Spinach
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,V22 Stir Fried Rape
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,V23 Stir Fried Chives with Eggs
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,V24 Stir Fried Bean Sprouts and Chives
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,V25 Stir Fried Eggs with Tomato
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,V26 Stir Fried Sweet Corn with Pine
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,V27 Stir Fried Snow Bean Black and White Fungus
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,V28 Stir Fried Loofah with Tofu
